Song Name,Song ID,Genres,Year
Wild Child,02bJ6uGeHKfNOhIc9qyA8e,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock",2000
No More (Baby I'ma Do Right),5zn1hpm9N0ylKB7kOtpCw2,"contemporary r&b, girl group, hip pop, r&b, urban contemporary",2000
Original Prankster,3zHuOlGPtw9G7GehTYmbv3,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",2000
The Enemy (feat. Fat Joe),3elnkBcvQQpZLz71mnw5hT,"east coast hip hop, hardcore hip hop, harlem hip hop",2000
Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM,pov: indie,2000
Bent,6ulEymrJ2Azx1uo3YHSE5w,new york drill,2000
We Can Work It Out - Remastered 2015,1hTUFqJuQAMjXVGwUPWDqi,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",2000
Idioteque,1W5XugQJGhnSATMI5n002M,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",2000
Quise Olvidarme de Ti,79tl7Pjwj9jcqJRFnBZ8B1,"grupera, musica mexicana, ranchera",2000
Kiss This,038jgLNIvp7QQNf5vILf5d,"country, country road",2000
It's So Hard (feat. Donell Jones) (feat. Donnell Jones),5NQdweL8O7nGdM7e4IS1lf,"bronx hip hop, east coast hip hop, hardcore hip hop",2000
I Don't Wanna Know,2yr2HnFYl7XvqJk4fXoQBt,,2000
A Little Book of Hours: VI. Singing Sun,06vaPTVwFkFxCzmJDXlfx5,"australian classical, contemporary classical",2000
Jumpdafuckup,1UwwbPgKGOoSbqqHm9Xxzn,"alternative metal, groove metal, industrial metal, metal, nu metal, rap metal",2000
The Lost Art Of Keeping A Secret,1RwDsaft1szD0FO3DVEtaT,"alternative metal, alternative rock, grunge, modern rock, nu metal, palm desert scene, rock, stoner metal, stoner rock",2000
Revolution Is My Name,6LhUsJiXAuxoalUz01evh0,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal",2000
Eras Todo para Mí,5bCo0iDHDXaLlfxf4pxVg0,"grupera, musica mexicana, ranchera",2000
Bad Boyz (feat. Barrington Levy),2MNQMtZbOb7rBWli3TSok0,"gangster rap, hardcore hip hop, hip pop, jewish hip hop, southern hip hop",2000
Livin' It Up,7zjEyeBsaw9gV0jofJLfOM,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",2000
Summer Rain,1sHXqphcVMiOzIS8ZxOeQo,rain,2000
No More,7w6PJe5KBPyvuRYxFkPssC,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, nu metal, rock",2000
Motion Picture Soundtrack,4SrRrB27n7fiRkQcPoKfpk,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",2000
Just Got Paid,7bNFkCSO1ofu3uzr6voY7T,"album rock, blues rock, classic rock, hard rock, rock",2000
Fiesta Pagana,02dphTJYUQ9pmdNC52iyOz,"celtic metal, medieval rock, rock en espanol, spanish folk metal, spanish metal",2000
La Caspa Del Diablo,2n4F4KH34FujRuaNmFILv7,"banda, musica mexicana, norteno",2000
Paper Thin Walls,5gtjm4ZrsGUGUwzXsB4zCw,"alternative rock, chamber pop, indie rock, indietronica, modern rock, washington indie",2000
Here's to the Night,4tgeQrPu5xkrnwErym2JsJ,"alternative metal, pop rock, post-grunge",2000
Estás Que Te Pelas,1rnjkfvu6h8aH1sYcXkjID,"banda, musica mexicana, norteno, tejano",2000
Pistol Grip Pump,0lsDJ0EkccufmSM43P28TQ,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock",2000
He Intentado Tanto Tanto,2eNZsRS82lFb82XM4Yp9ju,"grupera, musica mexicana, ranchera",2000
Stutter - Double Take Remix,7FWuzwapuKHTEyDJIcQOw3,"contemporary r&b, r&b, urban contemporary",2000
Only for the Weak,0JBQnLKfLXmlkquabLtAgd,"alternative metal, gothenburg metal, melodic death metal, melodic metalcore, metal, nu metal, swedish alternative rock, swedish death metal, swedish melodeath, swedish metal",2000
Escolta Suicida,4P26HKA1ijPe4o7NQqkHlP,"corrido, musica mexicana, norteno",2000
