Song Name,Song ID,Genres,Main Genres
Itsy Bitsy Spider,6cKlr2BOXBaqiuaHUY5Zwo,"[""children's music"", ""preschool children's music""]",[]
I'm So Hood,5WyT4OJkN8FlIeTIPWI5xq,"['hip hop', 'miami hip hop', 'pop rap', 'rap']","['Hip hop Music', 'Pop Music']"
Sweet Southern Comfort,0tuEEuDijBNJxcLSIrMNsU,"['country', 'country road']",['Country Music']
Lickupon,1wQixSSWydeLgkebOzu3yt,"['abstract hip hop', 'alternative hip hop']",['Hip hop Music']
Everything Went Numb,0TZ1MAPCWb2jpaKzS5Muyz,"['ska', 'ska punk']",[]
I Drove All Night,3J0AoQhAufniMrznCRJASD,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']","['Pop Music', 'Rock Music']"
El Precio,179TZwPk0txEvjkraVTVKo,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",[]
Whisper,6rSuL1ViLO7Aljn2WD09s4,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock', 'post-grunge']",['Rock Music']
That Girl,5UebR77vjap8LVd6eqITiY,"['alt z', 'singer-songwriter pop']",['Pop Music']
Fever for the Flava,28pHsII5hhYW5dNN3CWzsX,"['funk metal', 'rap rock']",['Rock Music']
Inertiatic Esp,16Elz7HJPLZPMylp13ewxv,"['el paso indie', 'garage rock']",['Rock Music']
What's Happenin!,5Sw4NiI7SniktcUwPweTvs,"['atl hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']",['Hip hop Music']
I Smell Pussy,6YTGeOilUBLvOGrpPBZ1OR,"['gangster rap', 'hardcore hip hop', 'hip hop', 'nyc rap', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop']","['Hip hop Music', 'Pop Music']"
You Send Me,24lvdbt9pS7DFEjhEWSl49,"['classic soul', 'soul', 'vocal jazz']",['Jazz Music']
Anesthesia,0c03LEUpwW0O2tmt0dfktG,"['alternative metal', 'gothic metal', 'industrial metal', 'industrial rock', 'metal', 'nu metal']",['Rock Music']
Saint Simon,1dMcNgBWGFNgnXAm4IJQZX,"['albuquerque indie', 'alternative rock', 'canadian indie', 'chamber pop', 'indie pop', 'indie rock', 'modern rock', 'portland indie', 'seattle indie', 'shimmer pop', 'stomp and holler']","['Pop Music', 'Rock Music']"
Suddenly Seymour,41J1DXb77mOmXT0iUyq41I,"['broadway', 'show tunes']",[]
Time Off For Bad Behavior,6teK395xJoARA0vVYXEfH5,"['country', 'outlaw country']",['Country Music']
